Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2024-08-23T16:00:00.000Z,Manchester City,Ipswich,home,2,100,4
2024-08-30T16:00:00.000Z,Nottingham Forest,Wolves,home,1.72,0,3.5
2023-09-29T16:00:00.000Z,Newcastle,Burnley,home,1.73,73,3.3
2023-11-10T16:00:00.000Z,Arsenal,Burnley,home,1.96,96,3.2727272727272725
2024-04-04T16:00:00.000Z,Liverpool,Sheff Utd,home,1.88,87.99999999999999,3.1485411140583555
2022-10-07T16:00:00.000Z,Manchester City,Southampton,home,2.02,102,3.125
2025-03-07T16:00:00.000Z,Liverpool,Southampton,home,1.98,98,3.0054945054945055
2024-09-13T16:00:00.000Z,Brighton,Ipswich,home,1.96,0,3.0000000000000004
2022-08-31T16:00:00.000Z,Arsenal,Aston Villa,home,1.8,80,3
2023-10-27T16:00:00.000Z,Arsenal,Sheff Utd,home,1.76,76,3
2024-08-23T16:00:00.000Z,Tottenham,Everton,home,2.17,117,3
2023-11-03T16:00:00.000Z,Manchester City,Bournemouth,home,1.95,95,2.8000000000000003
2024-02-09T16:00:00.000Z,Liverpool,Burnley,home,1.88,87.99999999999999,2.7543478260869563
2023-12-29T16:00:00.000Z,Manchester City,Sheff Utd,home,1.97,97,2.7516339869281046
2022-08-31T16:00:00.000Z,Manchester City,Nottingham Forest,home,1.84,84.00000000000001,2.75
2024-01-31T16:00:00.000Z,Manchester City,Burnley,home,2.16,116.00000000000001,2.75
2024-10-25T16:00:00.000Z,Manchester City,Southampton,home,2.07,106.99999999999999,2.75
2024-09-14T16:00:00.000Z,Aston Villa,Everton,home,2.03,102.99999999999999,2.666666666666667
2023-09-18T16:00:00.000Z,Nottingham Forest,Burnley,home,1.75,0,2.6666666666666665
2024-10-04T16:00:00.000Z,Arsenal,Southampton,home,1.78,78,2.6666666666666665
2023-12-22T16:00:00.000Z,Aston Villa,Sheff Utd,home,1.96,0,2.566176470588235
2022-10-29T16:00:00.000Z,Arsenal,Nottingham Forest,home,1.78,78,2.522727272727273
2022-09-17T16:00:00.000Z,Tottenham,Leicester,home,1.75,75,2.5
2023-09-15T16:00:00.000Z,Tottenham,Sheff Utd,home,1.9,89.99999999999999,2.5
2024-08-31T16:00:00.000Z,Chelsea,Crystal Palace,home,1.95,0,2.5
2025-01-24T16:00:00.000Z,Liverpool,Ipswich,home,2.02,102,2.474025974025974
2023-05-05T16:00:00.000Z,Manchester City,Leeds,home,1.92,92,2.4331550802139037
2022-10-01T16:00:00.000Z,Manchester City,Manchester Utd,home,1.83,83,2.4285714285714284
2023-03-03T16:00:00.000Z,Arsenal,Bournemouth,home,1.71,71,2.4033333333333338
2023-09-23T16:00:00.000Z,Brighton,Bournemouth,home,1.93,93,2.4000000000000004
2023-01-21T16:00:00.000Z,Manchester City,Wolves,home,2.12,112.00000000000001,2.368421052631579
2023-09-01T16:00:00.000Z,Manchester City,Fulham,home,2.07,106.99999999999999,2.3333333333333335
2023-09-01T16:00:00.000Z,Brentford,Bournemouth,home,1.84,0,2.3333333333333335
2022-09-16T16:00:00.000Z,Newcastle,Bournemouth,home,1.82,0,2.333333333333333
2023-04-21T16:00:00.000Z,Arsenal,Southampton,home,2.03,0,2.3225806451612905
2023-12-29T16:00:00.000Z,Aston Villa,Burnley,home,1.75,75,2.3188854489164084
2022-12-30T16:00:00.000Z,Manchester City,Everton,home,1.77,0,2.3041666666666667
2022-11-11T16:00:00.000Z,Manchester City,Brentford,home,1.92,-100,2.291208791208791
2023-11-11T16:00:00.000Z,Brighton,Sheff Utd,home,1.95,0,2.2727272727272725
2024-12-26T16:00:00.000Z,Liverpool,Leicester,home,1.77,77,2.253676470588235
2024-04-03T16:00:00.000Z,Arsenal,Luton,home,1.7,70,2.2400530503978784
2025-02-15T16:00:00.000Z,Liverpool,Wolves,home,1.78,78,2.208333333333333
2024-11-09T16:00:00.000Z,Tottenham,Ipswich,home,1.76,-100,2.2
2023-09-22T16:00:00.000Z,Manchester City,Nottingham Forest,home,2.04,104,2.1999999999999997
2024-04-26T16:00:00.000Z,Newcastle,Sheff Utd,home,1.9,89.99999999999999,2.1878787878787875
2023-12-08T16:00:00.000Z,Brighton,Burnley,home,2.04,0,2.1794871794871797
2022-11-04T16:00:00.000Z,Manchester City,Fulham,home,1.93,93,2.166666666666667
2023-09-29T16:00:00.000Z,West Ham,Sheff Utd,home,1.94,94,2.1666666666666665
2024-10-25T16:00:00.000Z,Brighton,Wolves,home,1.91,0,2.125
2023-10-28T16:00:00.000Z,Aston Villa,Luton,home,2.11,110.99999999999999,2.1111111111111107
2024-03-09T16:00:00.000Z,Arsenal,Brentford,home,1.73,73,2.0740740740740744
2023-04-15T16:00:00.000Z,Manchester City,Leicester,home,1.82,82,2.0551724137931036
2022-08-12T16:00:00.000Z,Arsenal,Leicester,home,1.86,86.00000000000001,2
2022-08-15T16:00:00.000Z,Liverpool,Crystal Palace,home,1.96,0,2
2024-12-04T16:00:00.000Z,Southampton,Chelsea,away,2,100,-2.0769230769230766
2024-02-03T16:00:00.000Z,Sheff Utd,Aston Villa,away,1.71,71,-2.086363636363636
2023-10-28T16:00:00.000Z,Wolves,Newcastle,away,2.05,0,-2.1111111111111107
2022-10-22T16:00:00.000Z,Southampton,Arsenal,away,1.95,0,-2.1272727272727274
2024-12-15T16:00:00.000Z,Southampton,Tottenham,away,1.87,87.00000000000001,-2.1333333333333337
2022-12-28T16:00:00.000Z,Leeds,Manchester City,away,1.85,85.00000000000001,-2.1428571428571432
