Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2024-04-07T16:00:00.000Z,Sheff Utd,Chelsea,away,1.78,0,-0.5753571428571429
2023-03-11T16:00:00.000Z,Crystal Palace,Manchester City,away,1.7,70,-0.5769230769230769
2024-09-14T16:00:00.000Z,Bournemouth,Chelsea,away,1.84,84.00000000000001,-0.579
2024-05-10T16:00:00.000Z,Fulham,Manchester City,away,1.97,97,-0.5867647058823531
2025-02-14T16:00:00.000Z,Leicester,Arsenal,away,2.14,114.00000000000001,-0.5938939393939394
2024-12-29T16:00:00.000Z,West Ham,Liverpool,away,1.73,73,-0.6041666666666666
2023-02-25T16:00:00.000Z,Bournemouth,Manchester City,away,1.97,97,-0.6079545454545454
2024-04-05T16:00:00.000Z,Crystal Palace,Manchester City,away,1.77,77,-0.6117857142857144
2024-10-04T16:00:00.000Z,Crystal Palace,Liverpool,away,2.04,104,-0.68
2023-12-26T16:00:00.000Z,Burnley,Liverpool,away,2.19,119,-0.683111111111111
2025-04-19T16:00:00.000Z,Ipswich,Arsenal,away,2.24,124.00000000000003,-0.6962625000000001
2023-09-01T16:00:00.000Z,Luton,West Ham,away,1.87,87.00000000000001,-0.724
2023-10-06T16:00:00.000Z,Luton,Tottenham,away,1.77,77,-0.725
2022-10-22T16:00:00.000Z,Southampton,Arsenal,away,1.95,0,-0.807
2024-12-04T16:00:00.000Z,Southampton,Chelsea,away,2,100,-0.9435
2025-05-24T16:00:00.000Z,Southampton,Arsenal,away,1.89,88.99999999999999,-0.9441176470588234
2024-09-28T16:00:00.000Z,Ipswich,Aston Villa,away,2.2,0,-0.953
2023-09-16T16:00:00.000Z,Everton,Arsenal,away,1.84,84.00000000000001,-0.96
2024-12-30T16:00:00.000Z,Ipswich,Chelsea,away,1.75,-100,-0.9666666666666666
2023-09-29T16:00:00.000Z,Bournemouth,Arsenal,away,2.04,104,-0.995
2023-10-21T16:00:00.000Z,Sheff Utd,Manchester Utd,away,2.12,112.00000000000001,-1.0416666666666665
2023-04-08T16:00:00.000Z,Southampton,Manchester City,away,2.07,106.99999999999999,-1.0714285714285714
2023-05-13T16:00:00.000Z,Everton,Manchester City,away,1.84,84.00000000000001,-1.0796691176470588
2024-11-23T16:00:00.000Z,Southampton,Liverpool,away,2.03,102.99999999999999,-1.1322
2024-10-19T16:00:00.000Z,Wolves,Manchester City,away,2.17,117,-1.142
2025-02-12T16:00:00.000Z,Everton,Liverpool,away,1.94,0,-1.1875
2025-05-09T16:00:00.000Z,Southampton,Manchester City,away,1.9,0,-1.3621323529411764
2024-08-31T16:00:00.000Z,West Ham,Manchester City,away,1.8,80,-1.38
2023-12-09T16:00:00.000Z,Luton,Manchester City,away,1.7,70,-1.4166666666666667
2024-02-16T16:00:00.000Z,Burnley,Arsenal,away,1.98,98,-1.4583333333333335
2025-04-19T16:00:00.000Z,Leicester,Liverpool,away,1.74,74,-1.5125
2024-04-27T16:00:00.000Z,Nottingham Forest,Manchester City,away,1.97,97,-1.6081470588235294
2023-11-05T16:00:00.000Z,Luton,Liverpool,away,1.78,0,-1.6300000000000001
2023-02-03T16:00:00.000Z,Everton,Arsenal,away,2.05,-100,-1.7100000000000004
2023-09-29T16:00:00.000Z,Wolves,Manchester City,away,1.81,-100,-1.713
2024-03-04T16:00:00.000Z,Sheff Utd,Arsenal,away,2.11,110.99999999999999,-1.8285256410256414
2024-09-28T16:00:00.000Z,Wolves,Liverpool,away,1.95,95,-2.063
2023-12-05T16:00:00.000Z,Luton,Arsenal,away,1.74,74,-2.1466666666666665
2023-08-26T16:00:00.000Z,Sheff Utd,Manchester City,away,1.77,77,-3.9
