Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2024-05-18T16:00:00.000Z,Arsenal,Everton,home,1.92,92,99.09909909909909
2024-05-10T16:00:00.000Z,Tottenham,Burnley,home,1.84,84.00000000000001,94.91525423728814
2023-08-25T16:00:00.000Z,Arsenal,Fulham,home,1.91,0,94.01709401709402
2022-10-29T16:00:00.000Z,Liverpool,Leeds,home,1.75,-100,92.10526315789474
2024-09-13T16:00:00.000Z,Liverpool,Nottingham Forest,home,1.99,-100,90.09009009009009
2022-08-26T16:00:00.000Z,Manchester City,Crystal Palace,home,2.11,110.99999999999999,89.09090909090908
2023-10-28T16:00:00.000Z,Aston Villa,Luton,home,2.11,110.99999999999999,88.63636363636364
2024-05-03T16:00:00.000Z,Arsenal,Bournemouth,home,1.97,97,87.61061946902656
2023-05-27T16:00:00.000Z,Arsenal,Wolves,home,1.91,90.99999999999999,86.96581196581198
2022-11-11T16:00:00.000Z,Liverpool,Southampton,home,1.84,84.00000000000001,86.95652173913044
2025-05-16T16:00:00.000Z,Aston Villa,Tottenham,home,1.84,84.00000000000001,86.95652173913044
2024-04-24T16:00:00.000Z,Manchester Utd,Sheff Utd,home,1.97,97,86.66666666666667
2024-12-06T16:00:00.000Z,Aston Villa,Southampton,home,1.98,98,86.22881355932203
2024-02-09T16:00:00.000Z,Manchester City,Everton,home,1.9,89.99999999999999,86.20689655172414
2025-05-10T16:00:00.000Z,Nottingham Forest,Leicester,home,1.79,0,86.11111111111111
2025-04-11T16:00:00.000Z,Brighton,Leicester,home,1.97,0,85.47008547008548
2023-11-11T16:00:00.000Z,Brighton,Sheff Utd,home,1.95,0,83.89830508474577
2024-11-29T16:00:00.000Z,Brighton,Southampton,home,2.17,0,83.33333333333334
2024-12-13T16:00:00.000Z,Liverpool,Fulham,home,1.91,0,83.33333333333334
2024-03-29T16:00:00.000Z,Chelsea,Burnley,home,1.83,0,82.89473684210526
2022-10-18T16:00:00.000Z,Brighton,Nottingham Forest,home,1.81,0,81.88976377952756
2023-12-15T16:00:00.000Z,Chelsea,Sheff Utd,home,1.83,83,81.81818181818181
2025-02-03T16:00:00.000Z,Chelsea,West Ham,home,1.88,87.99999999999999,81.5677966101695
2022-11-04T16:00:00.000Z,Manchester City,Fulham,home,1.93,93,79.81651376146789
2023-02-03T16:00:00.000Z,Brighton,Bournemouth,home,1.75,75,79.2
2024-11-09T16:00:00.000Z,Tottenham,Ipswich,home,1.76,-100,78.94736842105264
2022-12-30T16:00:00.000Z,Liverpool,Leicester,home,1.72,72,78.12499999999999
2025-01-05T16:00:00.000Z,Liverpool,Manchester Utd,home,2.14,0,74.8015873015873
