"Date","Home Team","Away Team","Home Score","Away Score","Bet Choice","Profit","Is Win","Factor Values","Combined Value","Decision Logic","Home Odds","Away Odds","Handicap"
"2023-05-27T16:00:00.000Z","Leicester","West Ham","2","1","HOME","78","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.78","2.05","Unknown"
"2023-05-27T16:00:00.000Z","Everton","Bournemouth","1","0","HOME","0","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2","1.82","Unknown"
"2023-05-27T16:00:00.000Z","Aston Villa","Brighton","2","1","HOME","54","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2.08","1.76","Unknown"
"2023-05-27T16:00:00.000Z","Leeds","Tottenham","1","4","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2.09","1.75","Unknown"
"2023-05-27T16:00:00.000Z","Arsenal","Wolves","5","0","HOME","91","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.91","1.91","Unknown"
"2023-05-27T16:00:00.000Z","Brentford","Manchester City","1","0","HOME","97","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.97","1.85","Unknown"
"2023-05-27T16:00:00.000Z","Southampton","Liverpool","4","4","HOME","87","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.87","1.95","Unknown"
"2023-05-27T16:00:00.000Z","Manchester Utd","Fulham","2","1","HOME","-50","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.92","1.9","Unknown"
"2023-05-27T16:00:00.000Z","Chelsea","Newcastle","1","1","HOME","0","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.95","1.87","Unknown"
"2024-05-18T16:00:00.000Z","Manchester City","West Ham","3","1","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.89","1.93","Unknown"
"2024-05-18T16:00:00.000Z","Liverpool","Wolves","2","0","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2.02","1.81","Unknown"
"2024-05-18T16:00:00.000Z","Crystal Palace","Aston Villa","5","0","HOME","74","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.74","2.11","Unknown"
"2024-05-18T16:00:00.000Z","Chelsea","Bournemouth","2","1","HOME","-50","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.71","2.16","Unknown"
"2024-05-18T16:00:00.000Z","Brighton","Manchester Utd","0","2","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2.04","1.79","Unknown"
"2024-05-18T16:00:00.000Z","Arsenal","Everton","2","1","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.92","1.9","Unknown"
"2024-05-18T16:00:00.000Z","Burnley","Nottingham Forest","1","2","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.87","1.95","Unknown"
"2024-05-18T16:00:00.000Z","Luton","Fulham","2","4","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.91","1.91","Unknown"
"2024-05-18T16:00:00.000Z","Sheff Utd","Tottenham","0","3","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.81","2.02","Unknown"
"2025-05-24T16:00:00.000Z","Liverpool","Crystal Palace","1","1","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2.12","1.73","Unknown"
"2025-05-24T16:00:00.000Z","Fulham","Manchester City","0","2","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.98","1.84","Unknown"
"2025-05-24T16:00:00.000Z","Manchester Utd","Aston Villa","2","0","HOME","98","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.98","1.84","Unknown"
"2025-05-24T16:00:00.000Z","Bournemouth","Leicester","2","0","HOME","56","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","2.12","1.73","Unknown"
"2025-05-24T16:00:00.000Z","Ipswich","West Ham","1","3","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.91","1.91","Unknown"
"2025-05-24T16:00:00.000Z","Nottingham Forest","Chelsea","0","1","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.98","1.84","Unknown"
"2025-05-24T16:00:00.000Z","Newcastle","Everton","0","1","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.93","1.89","Unknown"
"2025-05-24T16:00:00.000Z","Tottenham","Brighton","1","4","HOME","-100","false","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.72","2.14","Unknown"
"2025-05-24T16:00:00.000Z","Southampton","Arsenal","1","2","HOME","93","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.93","1.89","Unknown"
"2025-05-24T16:00:00.000Z","Wolves","Brentford","1","1","HOME","41","true","[38]","38","Factors: [38] Combined: 38 → BET HOME (Top 15%)","1.82","2","Unknown"
"2023-05-19T16:00:00.000Z","Wolves","Everton","1","1","HOME","41","true","[37]","37","Factors: [37] Combined: 37 → BET HOME (Top 15%)","1.82","2","Unknown"
"2023-05-19T16:00:00.000Z","Liverpool","Aston Villa","1","1","HOME","-100","false","[37]","37","Factors: [37] Combined: 37 → BET HOME (Top 15%)","1.95","1.87","Unknown"
