"Date","Home Team","Away Team","Home Score","Away Score","Bet Choice","Profit","Is Win","Factor Values","Combined Value","Decision Logic","Home Odds","Away Odds","Handicap"
"2023-12-22T16:00:00.000Z","Aston Villa","Sheff Utd","1","1","AWAY","86","true","[0.089]","0.089","Factors: [0.089] Combined: 0.089 → BET AWAY (Bottom 15%)","1.96","1.86","Unknown"
"2024-03-09T16:00:00.000Z","Arsenal","Brentford","2","1","AWAY","112","true","[0.089]","0.089","Factors: [0.089] Combined: 0.089 → BET AWAY (Bottom 15%)","1.73","2.12","Unknown"
"2024-09-13T16:00:00.000Z","Manchester City","Brentford","2","1","AWAY","87","true","[0.089]","0.089","Factors: [0.089] Combined: 0.089 → BET AWAY (Bottom 15%)","1.95","1.87","Unknown"
"2024-09-13T16:00:00.000Z","Liverpool","Nottingham Forest","0","1","AWAY","83","true","[0.089]","0.089","Factors: [0.089] Combined: 0.089 → BET AWAY (Bottom 15%)","1.99","1.83","Unknown"
"2025-04-12T16:00:00.000Z","Chelsea","Ipswich","2","2","AWAY","111","true","[0.089]","0.089","Factors: [0.089] Combined: 0.089 → BET AWAY (Bottom 15%)","1.74","2.11","Unknown"
"2023-08-18T16:00:00.000Z","Liverpool","Bournemouth","3","1","AWAY","0","false","[0.087]","0.087","Factors: [0.087] Combined: 0.087 → BET AWAY (Bottom 15%)","1.77","2.07","Unknown"
"2022-10-29T16:00:00.000Z","Arsenal","Nottingham Forest","5","0","AWAY","-100","false","[0.087]","0.087","Factors: [0.087] Combined: 0.087 → BET AWAY (Bottom 15%)","1.78","2.05","Unknown"
"2023-04-21T16:00:00.000Z","Arsenal","Southampton","3","3","AWAY","80","true","[0.087]","0.087","Factors: [0.087] Combined: 0.087 → BET AWAY (Bottom 15%)","2.03","1.8","Unknown"
"2022-10-21T16:00:00.000Z","Manchester City","Brighton","3","1","AWAY","-50","false","[0.086]","0.086","Factors: [0.086] Combined: 0.086 → BET AWAY (Bottom 15%)","1.78","2.05","Unknown"
"2024-02-20T16:00:00.000Z","Manchester City","Brentford","1","0","AWAY","102.99999999999997","true","[0.084]","0.084","Factors: [0.084] Combined: 0.084 → BET AWAY (Bottom 15%)","1.8","2.03","Unknown"
"2025-04-02T16:00:00.000Z","Manchester City","Leicester","2","0","AWAY","0","false","[0.084]","0.084","Factors: [0.084] Combined: 0.084 → BET AWAY (Bottom 15%)","1.86","1.96","Unknown"
"2023-05-03T16:00:00.000Z","Manchester City","West Ham","3","0","AWAY","-100","false","[0.081]","0.081","Factors: [0.081] Combined: 0.081 → BET AWAY (Bottom 15%)","1.78","2.05","Unknown"
"2024-04-13T16:00:00.000Z","Liverpool","Crystal Palace","0","1","AWAY","106.99999999999997","true","[0.081]","0.081","Factors: [0.081] Combined: 0.081 → BET AWAY (Bottom 15%)","1.77","2.07","Unknown"
"2022-08-26T16:00:00.000Z","Manchester City","Crystal Palace","4","2","AWAY","37","true","[0.079]","0.079","Factors: [0.079] Combined: 0.079 → BET AWAY (Bottom 15%)","2.11","1.74","Unknown"
"2023-08-11T16:00:00.000Z","Arsenal","Nottingham Forest","2","1","AWAY","98","true","[0.079]","0.079","Factors: [0.079] Combined: 0.079 → BET AWAY (Bottom 15%)","1.84","1.98","Unknown"
"2023-05-05T16:00:00.000Z","Manchester City","Leeds","2","1","AWAY","90","true","[0.078]","0.078","Factors: [0.078] Combined: 0.078 → BET AWAY (Bottom 15%)","1.92","1.9","Unknown"
"2025-04-25T16:00:00.000Z","Newcastle","Ipswich","3","0","AWAY","-100","false","[0.078]","0.078","Factors: [0.078] Combined: 0.078 → BET AWAY (Bottom 15%)","2.05","1.78","Unknown"
"2024-05-18T16:00:00.000Z","Liverpool","Wolves","2","0","AWAY","81","true","[0.076]","0.076","Factors: [0.076] Combined: 0.076 → BET AWAY (Bottom 15%)","2.02","1.81","Unknown"
"2022-11-04T16:00:00.000Z","Manchester City","Fulham","2","1","AWAY","89","true","[0.075]","0.075","Factors: [0.075] Combined: 0.075 → BET AWAY (Bottom 15%)","1.93","1.89","Unknown"
"2023-09-01T16:00:00.000Z","Manchester City","Fulham","5","1","AWAY","-100","false","[0.075]","0.075","Factors: [0.075] Combined: 0.075 → BET AWAY (Bottom 15%)","2.07","1.77","Unknown"
"2025-02-25T16:00:00.000Z","Chelsea","Southampton","4","0","AWAY","-100","false","[0.074]","0.074","Factors: [0.074] Combined: 0.074 → BET AWAY (Bottom 15%)","1.82","2","Unknown"
"2023-03-03T16:00:00.000Z","Arsenal","Bournemouth","3","2","AWAY","115","true","[0.073]","0.073","Factors: [0.073] Combined: 0.073 → BET AWAY (Bottom 15%)","1.71","2.15","Unknown"
"2023-12-15T16:00:00.000Z","Chelsea","Sheff Utd","2","0","AWAY","0","false","[0.073]","0.073","Factors: [0.073] Combined: 0.073 → BET AWAY (Bottom 15%)","1.83","1.99","Unknown"
"2024-09-27T16:00:00.000Z","Arsenal","Leicester","4","2","AWAY","0","false","[0.073]","0.073","Factors: [0.073] Combined: 0.073 → BET AWAY (Bottom 15%)","1.97","1.85","Unknown"
"2024-10-04T16:00:00.000Z","Arsenal","Southampton","3","1","AWAY","0","false","[0.073]","0.073","Factors: [0.073] Combined: 0.073 → BET AWAY (Bottom 15%)","1.78","2.05","Unknown"
"2023-04-15T16:00:00.000Z","Manchester City","Leicester","3","1","AWAY","50","true","[0.072]","0.072","Factors: [0.072] Combined: 0.072 → BET AWAY (Bottom 15%)","1.82","2","Unknown"
"2023-04-21T16:00:00.000Z","Liverpool","Nottingham Forest","3","2","AWAY","83","true","[0.068]","0.068","Factors: [0.068] Combined: 0.068 → BET AWAY (Bottom 15%)","1.99","1.83","Unknown"
"2023-09-22T16:00:00.000Z","Manchester City","Nottingham Forest","2","0","AWAY","39.5","true","[0.068]","0.068","Factors: [0.068] Combined: 0.068 → BET AWAY (Bottom 15%)","2.04","1.79","Unknown"
"2022-11-11T16:00:00.000Z","Manchester City","Brentford","1","2","AWAY","89","true","[0.068]","0.068","Factors: [0.068] Combined: 0.068 → BET AWAY (Bottom 15%)","1.92","1.89","Unknown"
"2023-11-10T16:00:00.000Z","Arsenal","Burnley","3","1","AWAY","0","false","[0.068]","0.068","Factors: [0.068] Combined: 0.068 → BET AWAY (Bottom 15%)","1.96","1.86","Unknown"
"2024-02-09T16:00:00.000Z","Liverpool","Burnley","3","1","AWAY","47","true","[0.068]","0.068","Factors: [0.068] Combined: 0.068 → BET AWAY (Bottom 15%)","1.88","1.94","Unknown"
"2024-08-16T16:00:00.000Z","Arsenal","Wolves","2","0","AWAY","42.5","true","[0.068]","0.068","Factors: [0.068] Combined: 0.068 → BET AWAY (Bottom 15%)","1.97","1.85","Unknown"
"2025-01-24T16:00:00.000Z","Liverpool","Ipswich","4","1","AWAY","-50","false","[0.067]","0.067","Factors: [0.067] Combined: 0.067 → BET AWAY (Bottom 15%)","2.02","1.8","Unknown"
"2024-12-27T16:00:00.000Z","Arsenal","Ipswich","1","0","AWAY","88","true","[0.064]","0.064","Factors: [0.064] Combined: 0.064 → BET AWAY (Bottom 15%)","1.94","1.88","Unknown"
"2022-12-30T16:00:00.000Z","Manchester City","Everton","1","1","AWAY","106.99999999999997","true","[0.063]","0.063","Factors: [0.063] Combined: 0.063 → BET AWAY (Bottom 15%)","1.77","2.07","Unknown"
"2023-10-27T16:00:00.000Z","Arsenal","Sheff Utd","5","0","AWAY","-100","false","[0.062]","0.062","Factors: [0.062] Combined: 0.062 → BET AWAY (Bottom 15%)","1.76","2.08","Unknown"
"2024-10-25T16:00:00.000Z","Manchester City","Southampton","1","0","AWAY","77","true","[0.062]","0.062","Factors: [0.062] Combined: 0.062 → BET AWAY (Bottom 15%)","2.07","1.77","Unknown"
"2022-10-07T16:00:00.000Z","Manchester City","Southampton","4","0","AWAY","-100","false","[0.059]","0.059","Factors: [0.059] Combined: 0.059 → BET AWAY (Bottom 15%)","2.02","1.81","Unknown"
"2024-01-31T16:00:00.000Z","Manchester City","Burnley","3","1","AWAY","71","true","[0.059]","0.059","Factors: [0.059] Combined: 0.059 → BET AWAY (Bottom 15%)","2.16","1.71","Unknown"
"2024-04-03T16:00:00.000Z","Arsenal","Luton","2","0","AWAY","58","true","[0.059]","0.059","Factors: [0.059] Combined: 0.059 → BET AWAY (Bottom 15%)","1.7","2.16","Unknown"
"2024-05-04T16:00:00.000Z","Manchester City","Wolves","5","1","AWAY","-100","false","[0.059]","0.059","Factors: [0.059] Combined: 0.059 → BET AWAY (Bottom 15%)","1.96","1.86","Unknown"
"2023-12-15T16:00:00.000Z","Manchester City","Crystal Palace","2","2","AWAY","90","true","[0.057]","0.057","Factors: [0.057] Combined: 0.057 → BET AWAY (Bottom 15%)","1.92","1.9","Unknown"
"2024-08-23T16:00:00.000Z","Manchester City","Ipswich","4","1","AWAY","-50","false","[0.053]","0.053","Factors: [0.053] Combined: 0.053 → BET AWAY (Bottom 15%)","2","1.82","Unknown"
"2022-08-31T16:00:00.000Z","Manchester City","Nottingham Forest","6","0","AWAY","-100","false","[0.053]","0.053","Factors: [0.053] Combined: 0.053 → BET AWAY (Bottom 15%)","1.84","1.98","Unknown"
"2023-11-03T16:00:00.000Z","Manchester City","Bournemouth","6","1","AWAY","-100","false","[0.053]","0.053","Factors: [0.053] Combined: 0.053 → BET AWAY (Bottom 15%)","1.95","1.87","Unknown"
"2024-04-12T16:00:00.000Z","Manchester City","Luton","5","1","AWAY","-100","false","[0.053]","0.053","Factors: [0.053] Combined: 0.053 → BET AWAY (Bottom 15%)","1.92","1.9","Unknown"
"2024-12-26T16:00:00.000Z","Liverpool","Leicester","3","1","AWAY","106.99999999999997","true","[0.053]","0.053","Factors: [0.053] Combined: 0.053 → BET AWAY (Bottom 15%)","1.77","2.07","Unknown"
"2025-03-07T16:00:00.000Z","Liverpool","Southampton","3","1","AWAY","84","true","[0.053]","0.053","Factors: [0.053] Combined: 0.053 → BET AWAY (Bottom 15%)","1.98","1.84","Unknown"
"2024-05-18T16:00:00.000Z","Manchester City","West Ham","3","1","AWAY","93","true","[0.050]","0.050","Factors: [0.050] Combined: 0.050 → BET AWAY (Bottom 15%)","1.89","1.93","Unknown"
"2024-04-04T16:00:00.000Z","Liverpool","Sheff Utd","3","1","AWAY","93","true","[0.040]","0.040","Factors: [0.040] Combined: 0.040 → BET AWAY (Bottom 15%)","1.88","1.93","Unknown"
"2022-08-12T16:00:00.000Z","Manchester City","Bournemouth","4","0","AWAY","-100","false","[0.037]","0.037","Factors: [0.037] Combined: 0.037 → BET AWAY (Bottom 15%)","1.85","1.97","Unknown"
"2023-12-29T16:00:00.000Z","Manchester City","Sheff Utd","2","0","AWAY","85","true","[0.035]","0.035","Factors: [0.035] Combined: 0.035 → BET AWAY (Bottom 15%)","1.97","1.85","Unknown"
